Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count,Geometry Point
Major Retail Store,SOBEYS NEWCASTLE,16943 - 127 STREET NW,305121157-002,ISSUED,"Feb 03, 2021","Feb 25, 2022",,3370,Rapperswill,Anirniq,53.630552,-113.539565,"(53.630551907017, -113.53956527934216)",1,POINT (-113.53956527934216 53.630551907017)
Major Retail Store,SOBEYS,1109 - JAMES MOWATT TRAIL SW,169338421-002,ISSUED,"Mar 22, 2021","Apr 14, 2022",,5453,Blackmud Creek,Ipiihkoohkanipiaohtsi,53.422827,-113.514828,"(53.422827109104084, -113.51482814543961)",1,POINT (-113.51482814543961 53.422827109104084)
Major Retail Store,LEWIS ESTATES SOBEYS,1030 - WEBBER GREENS DRIVE NW,115640591-010,ISSUED,"Apr 22, 2021","Jun 05, 2022",,4730,Suder Greens,Nakota Isga,53.524304,-113.669531,"(53.52430384133888, -113.66953129993895)",1,POINT (-113.66953129993895 53.52430384133888)
Major Retail Store,SOBEYS,5309 - ELLERSLIE ROAD SW,235570631-002,ISSUED,"Nov 10, 2021","Dec 24, 2022",,6662,Walker,Karhiio,53.424026,-113.424516,"(53.42402623351511, -113.42451614390897)",1,POINT (-113.42451614390897 53.42402623351511)
Major Retail Store,BELMONT SOBEYS,13504 - VICTORIA TRAIL NW,310516506-002,ISSUED,"Apr 12, 2021","Apr 15, 2022",,2070,Belmont,Dene,53.597528,-113.387509,"(53.59752790658233, -113.38750911049321)",1,POINT (-113.38750911049321 53.59752790658233)
Major Retail Store,SOBEYS MEADOWBROOK,3819 - 34 STREET NW,373044793-002,ISSUED,"Sep 23, 2021","Oct 27, 2022",,6390,Larkspur,Sspomitapi,53.473625,-113.392033,"(53.473624678536936, -113.39203250320976)",1,POINT (-113.39203250320976 53.473624678536936)
Major Retail Store,SOBEYS,5011 - 23 AVENUE NW,368562222-002,ISSUED,"Dec 23, 2021","Dec 22, 2022",,6460,Meyokumin,Karhiio,53.453663,-113.42222,"(53.453663011240934, -113.42221960746407)",1,POINT (-113.42221960746407 53.453663011240934)
Major Retail Store,CHAPPELLE CO-OP,1025 - CHAPPELLE BOULEVARD SW,315341430-002,ISSUED,"Apr 26, 2021","Jun 06, 2022",,5462,Chappelle Area,Ipiihkoohkanipiaohtsi,53.409742,-113.56935,"(53.409741676643385, -113.56934972723178)",1,POINT (-113.56934972723178 53.409741676643385)
Major Retail Store,HAWKSTONE CO-OP,18370 - LESSARD ROAD NW,164303363-001,ISSUED,"Oct 19, 2021","Dec 02, 2022",,4110,Dechene,sipiwiyiniwak,53.485986,-113.643995,"(53.48598581642392, -113.64399460941746)",1,POINT (-113.64399460941746 53.48598581642392)
Major Retail Store,LUCKY 97 SUPERMARKET,10725 - 97 STREET NW,271398180-002,RENEWAL NOTICE,"Jan 28, 2021","Jan 28, 2022",Chinatown and Area,1140,McCauley,O-day'min,53.552528,-113.48891,"(53.5525277609419, -113.48890995457865)",1,POINT (-113.48890995457865 53.5525277609419)
Major Retail Store,T & T SUPERMARKET,3451 - CALGARY TRAIL NW,173170614-002,ISSUED,"Jul 02, 2021","Jul 23, 2022",,5120,Calgary Trail South,Karhiio,53.469127,-113.494701,"(53.469126764234716, -113.49470084787018)",1,POINT (-113.49470084787018 53.469126764234716)
Major Retail Store,LUCKY SUPERMARKET,13851 - 127 STREET NW,271399486-002,RENEWAL NOTICE,"Jan 14, 2021","Jan 16, 2022",,3020,Baranow,Anirniq,53.601483,-113.539641,"(53.60148334055346, -113.53964103050772)",1,POINT (-113.53964103050772 53.60148334055346)
Major Retail Store,HIEP THANH SUPERMARKET,10716 - 98 STREET NW,58513840-001,ISSUED,"May 13, 2021","Jun 18, 2022",Chinatown and Area,1140,McCauley,O-day'min,53.551814,-113.491181,"(53.5518141706554, -113.49118108514271)",1,POINT (-113.49118108514271 53.5518141706554)
Major Retail Store,SEAFOOD CITY SUPERMARKET,17540 - 100 AVENUE NW,355351466-002,ISSUED,"Jul 01, 2021","Jul 20, 2022",,4400,Place LaRue,Nakota Isga,53.539692,-113.624018,"(53.53969233175355, -113.62401845991458)",1,POINT (-113.62401845991458 53.53969233175355)
Major Retail Store,T & T SUPERMARKET INC,"158, 9450 - 137 AVENUE NW",86981699-001,ISSUED,"Jun 04, 2021","Jun 11, 2022",,2580,Northmount,tastawiyiniwak,53.600591,-113.488293,"(53.60059093750282, -113.48829297597165)",1,POINT (-113.48829297597165 53.60059093750282)
Major Retail Store,T & T SUPERMARKET INC,"2577, 8882 - 170 STREET NW",7481670-001,ISSUED,"Mar 04, 2021","Mar 19, 2022",,4520,Summerlea,sipiwiyiniwak,53.522843,-113.628308,"(53.522842514298645, -113.6283082560619)",1,POINT (-113.6283082560619 53.522842514298645)
Major Retail Store,ALL INDIA GROCERY & MOVIES,4245 - 23 AVENUE NW,7474509-001,ISSUED,"Jan 27, 2021","Feb 20, 2022",,6150,Daly Grove,Sspomitapi,53.454518,-113.408085,"(53.45451774417538, -113.40808546641102)",1,POINT (-113.40808546641102 53.45451774417538)
